,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,01810.HK,20241016,22.6,23.2,22.5,22.7,23.0,-0.3,-1.3,99985996.0,2284155661.9
1,01810.HK,20241015,23.6,24.05,22.7,23.0,23.6,-0.6,-2.54,154001004.0,3592902790.15
2,01810.HK,20241014,23.7,23.7,22.5,23.6,23.75,-0.15,-0.63,179121230.0,4149398370.95
3,01810.HK,20241010,23.8,24.45,23.6,23.75,23.3,0.45,1.93,168957063.0,4052912108.2
4,01810.HK,20241009,23.95,24.45,22.55,23.3,23.7,-0.4,-1.69,311173505.0,7302908064.25
5,01810.HK,20241008,25.9,26.2,23.4,23.7,25.85,-2.15,-8.32,453596652.0,11095958322.91
6,01810.HK,20241007,24.9,26.15,24.7,25.85,24.55,1.3,5.3,218062756.0,5600684806.45
7,01810.HK,20241004,23.9,24.75,23.6,24.55,24.05,0.5,2.08,149949209.0,3647137555.6
8,01810.HK,20241003,24.05,24.4,23.2,24.05,24.0,0.05,0.21,190305304.0,4539171329.29
9,01810.HK,20241002,22.5,24.65,22.5,24.0,22.5,1.5,6.67,251108945.0,6000306291.94
10,01810.HK,20240930,22.7,22.95,21.95,22.5,21.95,0.55,2.51,336102598.0,7579462209.7
11,01810.HK,20240927,21.8,22.45,21.15,21.95,21.5,0.45,2.09,347881602.0,7613210665.25
12,01810.HK,20240926,20.85,21.5,20.35,21.5,20.55,0.95,4.62,277149964.0,5832683472.05
13,01810.HK,20240925,21.85,21.85,20.4,20.55,21.2,-0.65,-3.07,295113558.0,6156916656.05
14,01810.HK,20240924,20.9,21.45,20.8,21.2,20.55,0.65,3.16,231382970.0,4896974476.1
15,01810.HK,20240923,19.88,20.8,19.84,20.55,19.88,0.67,3.37,196007468.0,4023938074.78
16,01810.HK,20240920,19.8,20.2,19.72,19.88,19.8,0.08,0.4,134110539.0,2673886725.51
17,01810.HK,20240919,19.46,19.98,19.28,19.8,19.52,0.28,1.43,127470344.0,2511653687.07
18,01810.HK,20240917,19.2,19.58,19.14,19.52,19.24,0.28,1.46,44239073.0,860984374.44
19,01810.HK,20240916,18.98,19.3,18.94,19.24,19.22,0.02,0.1,27267287.0,522122287.0
20,01810.HK,20240913,18.96,19.44,18.92,19.22,18.92,0.3,1.59,73146752.0,1407932743.28
21,01810.HK,20240912,19.02,19.3,18.84,18.92,18.96,-0.04,-0.21,69973131.0,1331837284.24
22,01810.HK,20240911,18.34,19.06,18.34,18.96,18.66,0.3,1.61,74641703.0,1404606100.94
23,01810.HK,20240910,18.62,18.7,18.18,18.66,18.62,0.04,0.21,81163590.0,1506478682.12
